Title,Category,Date,Content
Menikmati Indahnya Pohon Natal dari Botol Bekas di Katedral Tanjungkarang Lampung,REGIONAL,24/12/2024,"LAMPUNG, KOMPAS.com - Sebuah pohon Natal yang menarik perhatian publik telah dipasang di Gereja Kristus Raja, yang terletak di kompleks Katedral Tanjungkarang, Bandar Lampung, Lampung.
Pohon Natal tersebut dibuat dari barang-barang bekas, khususnya botol air mineral.
Pohon Natal setinggi 3 meter tersebut terbuat dari botol-botol bekas berwarna hijau yang ditumpuk dan mengerucut ke atas.
Baca juga: Kisah Sinterklas Berpakaian Merah dari Iklan Coca-Cola, Benarkah?

Baca juga: Ini Perbedaan Sinterklas dan Santa Claus, Jangan Salah Sebut!



Pembuatan pohon Natal memakan waktu 10 hari
Di sekeliling pohon, terdapat lampu-lampu hias berbentuk bola, sementara beberapa kado terletak di bagian bawah.
Namun, bintang yang menghiasi puncak pohon belum menyala karena baru dipasang.
Kepala Rumah Tangga Katedral Tanjungkarang, Yopie Wiguna, menjelaskan bahwa bahan-bahan untuk pohon Natal ini dikumpulkan dari jemaat dan warga sekitar katedral di Jalan Kota Raja, Bandar Lampung.
""Memang kita temanya memanfaatkan barang-barang bekas. Kali ini dari botol mineral. Kalau tahun kemarin dari sandal jepit,"" ungkap Yopie saat ditemui di kompleks Katedral Tanjungkarang, Selasa (24/12/2024) sore.
Baca juga: Ini Perbedaan Sinterklas dan Santa Claus, Jangan Salah Sebut!
Yopie menambahkan, pemuda gereja berhasil mengumpulkan sekitar 1.200 botol yang kemudian dicat berwarna hijau agar menyerupai pohon Natal sesungguhnya.
""Iya, kita sebisa mungkin memanfaatkan barang-barang yang dianggap sampah menjadi barang yang indah, seperti pohon Natal ini,"" jelasnya.
Pembuatan pohon Natal ini memakan waktu sekitar 10 hari agar dapat dipasang tepat saat perayaan Natal 2024.
Inisiatif ini tidak hanya menciptakan suasana Natal yang meriah, tetapi juga mengedukasi masyarakat tentang pentingnya mendaur ulang barang-barang bekas.
Baca juga: Apakah Sinterklas adalah Sosok yang Nyata? Berikut Penjelasannya
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
Polisi Selidiki Kasus Bocah Jatuh dari Lantai 18 Apartemen di Tangsel,NEWS,24/12/2024,"TANGERANG SELATAN, KOMPAS.com - Polisi tengah menyelidiki kasus seorang bocah yang dilaporkan tewas setelah terjatuh dari lantai 18 salah satu apartemen di Jalan Jombang Raya, Parigi, Pondok Aren, Tangerang Selatan.
""Untuk lebih detailnya masih dicek petugas kami dari Polsek Pondok Aren ke TKP,"" ujar Kepala Bidang (Kabid) Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi saat dikonfirmasi Kompas.com, Selasa (24/12/2024).
Ade sebelumnya telah membenarkan peristiwa tersebut terjadi pada Senin (23/12/2024) kemarin.
Akan tetapi, kronologi detail serta identitas korban masih belum dapat dijelaskan.
Baca juga: Bocah 7 Tahun di AS Kritis Usai Tertimpa Drone Saat Acara Natal
""Iya benar ada kejadian itu,"" kata Ade Ary.



Saat ini, polisi dari Polsek Pondok Aren telah tiba di lokasi untuk menyelidiki insiden tersebut.
Berdasarkan pantauan Kompas.com di lokasi, aktivitas warga apartemen berlangsung seperti biasa, meskipun insiden itu masih menjadi perbincangan.
Kendaraan roda dua dan roda empat tampak keluar masuk apartemen, termasuk mobil Reskrim Polsek Pondok Aren.
Petugas keamanan apartemen juga membenarkan insiden ini.
Baca juga: Bocah Tewas Terjatuh dari Lantai 18 Apartemen di Tangsel
Salah seorang petugas menyebut bocah yang terjatuh berusia di atas lima tahun, dan insiden terjadi di Tower B.
""Kemarin kejadiannya. Bukan bayi, usianya di atas lima tahun,"" ujar petugas tersebut.
Namun, petugas keamanan tidak dapat memberikan informasi perinci mengenai identitas korban, termasuk apakah korban merupakan penghuni tetap atau penyewa sementara.
""Penghuni atau sewa kadang-kadang membedakan susah. Dia bisa jadi penghuni tapi dia sewa, atau memang penghuni benar-benar tapi tidak sewa,"" kata dia.

Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
Bocah Tewas Terjatuh dari Lantai 18 Apartemen di Tangsel,NEWS,24/12/2024,"TANGERANG SELATAN, KOMPAS.com – Seorang anak tewas setelah terjatuh dari lantai 18 sebuah apartemen di Pondok Aren, Tangerang Selatan.
Kepala Bidang Humas Polda Metro Jaya, Kombes Pol Ade Ary Syam Indradi, membenarkan kejadian tersebut.
""Iya, benar ada kejadian itu,"" kata Ade Ary saat dikonfirmasi oleh Kompas.com, Selasa (24/12/2024).
Baca juga: Ayah Bayi Diduga Tertukar di RS Islam Cempaka Putih Tidak Puas dengan Hasil Tes DNA
Peristiwa ini terjadi pada Senin (23/12/2024) sore.
Namun, kronologi lengkap dan identitas korban belum diungkap secara rinci.



Polisi masih melakukan penyelidikan untuk mengungkap detail kejadian tersebut.
""Untuk informasi lebih lanjut, petugas kami dari Polsek Pondok Aren sedang melakukan pengecekan di TKP,"" ujar dia.
Berdasarkan pantauan Kompas.com di lokasi, sekitar pukul 15.00 WIB, aktivitas masyarakat di area apartemen terlihat seperti biasa.
Kendaraan roda dua dan roda empat keluar masuk apartemen, termasuk salah satunya mobil Reskrim Polsek Pondok Aren.
Saat Kompas.com mencoba mendekati lokasi tempat anak itu terjatuh, sekuriti apartemen melarang masuk dengan alasan perintah dari atasan.
Baca juga: Hasil Tes DNA Tunjukkan Bayi Meninggal di RS Islam Cempaka Putih Tidak Tertukar
Meski demikian, salah satu petugas keamanan membenarkan adanya peristiwa itu.
Ia menyebut korban yang diperkirakan berusia di atas lima tahun itu terjatuh dari lantai 18 Tower B.
""Kejadiannya kemarin. Itu bukan bayi, usianya di atas lima tahun,"" ujar petugas sekuriti.
Namun, petugas keamanan itu tidak bisa memberikan detail lebih lanjut terkait kronologi maupun identitas korban.
""Soalnya sulit membedakan, dia penghuni tetap atau hanya penyewa. Kadang-kadang yang sewa juga dianggap penghuni,"" jelas dia.
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Perjalanan Sudarti Mengubah Hidup, dari Buruh Pabrik yang Ter-PHK hingga Jadi Petani Tembakau Sukses",MONEY,24/12/2024,"KOMPAS.com - Cuaca terik di Kabupaten Rembang, Jawa Tengah (Jateng), tak menghalangi semangat Sudarti. Bagi perempuan asal Desa Sudo ini, panas matahari adalah berkah untuk tembakau yang telah ia panen.
Dengan cekatan, ia menata lembaran-lembaran daun tembakau, memastikan tersebar merata agar cepat kering. Sedasawarsa menjadi petani tembakau, ia kini lebih familier dengan cuaca panas.
Sudarti adalah salah satu petani peserta program kemitraan PT HM Sampoerna Tbk (Sampoerna) yang dijalankan melalui perusahaan pemasok. Kehidupannya yang kini lebih sejahtera tidak lepas dari peran pertanian tembakau yang dijalaninya.
Sebelum bertani tembakau, Sudarti adalah seorang buruh pabrik. Namun, pada 2014, ia mengalami pemutusan hubungan kerja (PHK) yang membuatnya kebingungan.
“Setelah kena PHK saya pulang ke Rembang. Sempat bingung mau bekerja apa. Akhirnya, saya memutuskan menanam tembakau setelah disarankan oleh tetangga,” ujar Sudarti.
Sudarti mengaku tidak memiliki pengalaman bertani. Namun, keberuntungan berpihak padanya. Mengikuti program kemitraan Sampoerna, ia mendapat pelatihan intensif dan pendampingan hingga bisa berhasil sebagai petani tembakau.



""Saya dibina dan diarahkan sejak awal, mulai dari mulai menanam sampai proses pasca-panen, saya terus mendapatkan pembinaan,"" jelasnya.
Berkat pendampingan tersebut, tembakau yang ditanamnya tumbuh subur. Ketekunan Sudarti pun berperan besar dalam kesuksesannya ini.
Di Desa Sudo, Sudarti dikenal luas bukan hanya sebagai petani perempuan, tetap juga dedikasinya yang luar biasa. Tak jarang, ia terlihat di ladang hingga malam hari, memastikan semuanya dalam kondisi terbaik.
Dok. Istimewa Setiap musim tembakau, Sudarti mempekerjakan lima orang tetangganya untuk membantunya menanam dan memanen tembakau. Dengan begitu, turut menyejahterakan masyarakat sekitar
Menggerakkan ekonomi kerakyatan
Kini, kehidupan Sudarti jauh lebih baik. Sejak menjadi petani tembakau, perekonomiannya meningkat pesat. Dulu, saat terkena PHK, tak pernah ia bayangkan dapat mencapai titik ini.
""Hasil pertanian tembakau selalu bagus sehingga saya bisa punya dua unit sepeda motor sekarang. Satu untuk keperluan sehari-hari, dan satu lagi untuk dipakai di lahan,"" ungkap Sudarti.
Lahan yang dulu sempit kini semakin luas mencapai sekitar 1,5 hektare. Keberhasilan ini bukan hanya dirasakan Sudarti, tetapi juga tetangga dan masyarakat sekitar.
Setiap musim tembakau, ia mempekerjakan lima orang untuk membantunya menanam dan memanen tembakau.
""Mereka adalah tetangga yang selalu saya ajak setiap musim tembakau. Sebelumnya, mereka tidak punya pekerjaan tetap saat musim kemarau,"" tambah Sudarti.
Semakin banyaknya petani tembakau di Desa Sudo membuat persaingan tenaga kerja semakin ketat, terutama saat musim kemarau. Tanaman lain sulit tumbuh baik pada musim kemarau. Akan tetapi, tembakau justru berkembang pesat."
"Video Viral Pengeroyokan di Jalur Alternatif Puncak, Korban Wanita Hamil",OTOMOTIF,24/12/2024,"JAKARTA, KOMPAS.com - Video viral di media sosial memperlihatkan pasangan suami istri yang dikeroyok oleh beberapa orang di jalur alternatif Puncak, Bogor, Jawa Barat. 
Dalam video yang diunggah akun Instagram, dashcamindonesia, video tersebut jadi viral karena memperlihatkan perselisihan sampai mengeluarkan kata-kata kasar dan terjadi pemukulan. 
Baca juga: Libur Nataru 2024/2025, Cek Daftar Lengkap Tarif Tol Trans Jawa
Kejadian bermula saat mobil korban ingin mendahului mobil lain yang berhenti di sisi kiri jalan karena diduga salah satu bannya terperosok ke lubang. 


 
 
 

View this post on Instagram

 
 
 
A post shared by Dashcam Indonesia (@dashcamindonesia)


Korban yang mengemudikan mobil masuk untuk menyalip. Namun karena jalannya sempit mobil korban jadi memepet dan menyenggol orang lain yang berada di jalan. 



Mobil korban kemudian dipukul oleh orang di luar mobil. Tidak terima, perempuan di kursi penumpang yang terprovokasi jadi beradu mulut dengan warga sekitar. 
Dalam video dua orang di mobil kemudian turun, diduga korban dan pasangannya. Keadaan kemudian jadi panas sebab beberapa orang yang diduga warga ikut jadi makin kesal. 
Baca juga: Catat Waktunya, Ganjil Genap di Jalur Puncak Berlaku mulai Hari Ini
""Kronologi: Di tanggal 22 desember 2024 jam 15.43, di jalur alternatif ada mobil jeblos di jalur sebelah kiri. Lalu di kerumunin banyak orang. Saat saya lewat, saya di suruh jalan lewat kanan. Selagi menjalankan mobil perlahan, tiba2 ada bapak2 nyelip sehingga tersenggol spion kiri mobil saya.
Lalu orang kerumunan itu tidak terima dan mengkeroyok mobil saya. Ada pemuda yg sok jagoan nantangin untuk turun keluar.
Sebagian orang minta jalan. Si pemuda mengejar dan terjadi pengeroyokan di tempat.Sebagai catatan, pemuda yg sok jagoan itu bukan orang yg tersenggol spion dan tidak ada hubungan dengan bapak2 yg tersenggol tersebut. Hanya ingin melampiaskan kekesalannya.Karena cekcok dengan istri saya yg sedang hamil 8 minggu, hasil dari dokter ada ancaman keguguran karena terlalu stress berhadapan dengan pemuda berbaju merah tersebut. Saya juga di tonjok di mata kanan.
Di 22 desember 2024 jam 17.00 sudah di laporkan ke polsek megamendung. Jam 17.15 pelaku di tangkap dan pelaku tidak bisa membayar ganti rugi untuk pengecekan kondisi kandungan dan pengobatan. Jam 21.00 di lepas karena hanya memakan waktu karena tidak bisa membayar apapun,"" tulis korban.
Baca juga: Kronologi Kecelakaan Bus di Malang, Truk Mundur Tanpa Sopir
Postingan tersebut menuai banyak reaksi netizen. Meski demikian, beberapa justru memberatkan korban karena dianggap tidak sabar saat berusaha menyalip mobil di jalan sempit.
Budiyanto, pemerhati masalah transportasi dan hukum mengatakan, kejadian tersebut merupakan dorongan kepada para pemangku kepentingan agar meningkatkan penjagaan di jalur alternatif.
""Jalan alternatif ke arah Puncak banyak diminati oleh para pengguna jalan karena jalan utama macet, apalagi sekarang dalam liburan Nataru,"" ungkap Budiyanto kepada Kompas.com, Selasa (24/12/2024).
Baca juga: Sempat Ditutup, Jalan Tol Pandaan Malang Sudah Dibuka Kembali
Budiyanto mengatakan, peristiwa seperti itu jangan sampai terulang lagi untuk memberikan pengamanan dan kenyamanan bagi para pengguna jalan alternatif.
kompas.com Ilustrasi mengemudi.
""Salah satu caranya memproses kasus tersebut sampai tuntas dan penempatan anggota kepolisian pada jalan alternatif yang dianggap rawan sebagai bentuk pam preventif,"" ungkapnya."
PGN Siap Jaga Penyaluran Gas Bumi 853 BBTUD Selama Nataru 2024/2025,NEWS,24/12/2024,"KOMPAS.com – PT Perusahaan Gas Negara Tbk (PGN) memastikan penyaluran gas bumi sebesar 853 billion british thermal unit per day (BBTUD) akan tetap aman untuk seluruh sektor pelanggan selama libur Natal dan Tahun Baru (Nataru) 2024/2025.
Gas bumi yang disalurkan mencakup berbagai sektor, mulai dari rumah tangga, usaha mikro kecil menengah (UMKM), ritel, industri, pembangkit listrik, hingga transportasi.
Untuk penyaluran bahan bakar gas (BBG), PGN melalui 13 Stasiun Pengisian Bahan Bakar Gas (SPBG) dan tiga Mobile Refueling Unit (MRU) menyiapkan pasokan gas bumi sebesar 8,2 BBTUD atau setara dengan 178.000 liter setara premium (LSP).
Baca juga: Antisipasi Macet Saat Natal, Rekayasa Lalu Lintas Disiapkan di Malang
Sebagai langkah antisipasi terhadap gangguan pasokan gas, PGN juga memanfaatkan gas ex-liquefied natural gas (LNG) dari Floating Storage Regasification Unit (FSRU) Lampung dan didukung compressed natural gas (CNG) sebagai pasokan cadangan.
""Seluruh fasilitas subholding gas PT Pertamina (Persero) dalam kondisi normal dan aman. Kami akan terus memantau agar penyaluran pasokan gas ke pelanggan tetap lancar selama libur Nataru. Tim Satuan Tugas (Satgas) Nataru sudah siap siaga, baik dalam hal personel, keamanan aset, maupun infrastruktur,"" ujar Corporate Secretary PGN Fajriyah Usman dalam siaran pers yang diterima Kompas.com, Selasa (24/12/2024).



Lebih lanjut, ia mengungkapkan bahwa PGN terus melakukan monitoring dan patroli terhadap jaringan gas bumi secara real-time melalui sistem Supervisory Control and Data Acquisition (SCADA).
Baca juga: Perkuat Peran Gas Bumi di Masa Transisi Energi, PGN Sabet 7 Penghargaan BPH Migas 2024
DOK. Humas PGN Ilustrasi pekerja Pertamina sedang melakukan pengecekan aliran instalasi gas CNG.

Satgas Nataru PGN juga meningkatkan pengamanan distribusi gas bumi serta kewaspadaan untuk mencegah insiden.
Dalam menjalankan tugasnya, Satgas Nataru 2024 selalu mengutamakan prinsip health, safety, security, and environment (HSSE).
PGN juga bekerja sama dengan Tentara Nasional Indonesia (TNI) dan Kepolisian Negara Republik Indonesia (Polri) untuk patroli dan pengamanan di area dengan tingkat kerawanan insiden yang sedang hingga tinggi.
Baca juga: Mendag Tinjau SPBE di Bandung Barat, Pastikan Pengisian Ulang Gas Elpiji 3 Kilogram Sesuai SOP
Untuk mengatasi kendala pemakaian gas atau penanganan darurat, Satgas Nataru siap 24 jam, tujuh hari, dan dapat dihubungi kapan saja melalui nomor 135.
Masyarakat juga dapat menghubungi Sales Area terdekat untuk mempercepat penanganan jika mengalami masalah dengan pasokan gas bumi.
Fajriyah menegaskan, PGN memprioritaskan ketersediaan dan keamanan distribusi gas bumi selama libur panjang agar seluruh pelanggan dapat menikmati pasokan gas bumi dengan nyaman.
Baca juga: Industri Fusi Berkembang, Pasokan Tenaga Kerja Diperlukan 
Satgas Nataru 2024 juga bertugas untuk mendukung upaya pemerintah dalam menjaga ketersediaan energi nasional.
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
Kejaran Debt Collector Buat Pengemudi Mobil Terios di Bogor Panik hingga Menabrak Sepeda Motor,NEWS,24/12/2024,"BOGOR, KOMPAS.com - Sebuah mobil Daihatsu Terios bernomor polisi B 2634 FKD menabrak sepeda motor Honda Supra Fit di Jalan Raya Siliwangi, Kecamatan Bogor Selatan, Kota Bogor, Selasa (24/12/2024) sekitar pukul 10.00 WIB.
Peristiwa ini mengakibatkan pengemudi sepeda motor mengalami luka-luka usai terhempas dari kendaraannya.
“Pengendara (sepeda motor) mengalami luka-luka dan selanjutnya mendapat perawatan di klinik dekat TKP,” ujar Kasat Lantas Polresta Bogor Kota Kompol Ardi Wibowo saat ditemui Kompas.com, Selasa.
Baca juga: Mobil Terios Ngebut lalu Tabrak Motor di Bogor, Diduga Sedang Dikejar Debt Collector
Kronologi
Ardi menjelaskan, kejadian bermula saat mobil Daihatsu Terios tersebut melaju dari arah Jalan Pajajaran menuju Jalan Batu Tulis.
Saat melintas di Jalan Raya Siliwangi, pengemudi mobil Terios yang identitasnya belum diketahui itu melaju dengan kecepatan tinggi tanpa hati-hati, diduga sedang dikejar oleh debt collector.



Namun, laju mobil Daihatsu Terios hilang kendali sehingga menabrak motor Honda Supra Fit dan membuat pengendara motor terjatuh.
“Hasil keterangan yang didapat memang si pengendara ini ada kaitannya seperti dikejar matel (mata elang),” kata Ardi.
Sampai saat ini, polisi masih menyelidiki kecelakaan tersebut dan belum berhasil mendapatkan keterangan dari pengemudi mobil Terios.
Baca juga: Sopir Terios yang Tabrak Sepeda Motor di Bogor Diduga Panik Dikejar Debt Collector
“Kami belum dapat keterangan dari pengemudi,” kata Ardi.
(Penulis: Ruby Rachmadina | Editor: Jessi Carina, Ihsanuddin)
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Stasiun Gambir Terapkan ""Face Recognition"" untuk Mudahkan ""Check-in"" Penumpang",NEWS,24/12/2024,"JAKARTA, KOMPAS.com - Stasiun Gambir kini menerapkan metode pengenalan wajah (face recognition) untuk mempermudah proses check-in penumpang selama musim mudik Natal dan Tahun Baru.
Pengamatan Kompas.com di lokasi menunjukkan bahwa proses check-in dengan teknologi ini dilakukan di Pintu Selatan Stasiun Gambir.
Para penumpang umumnya datang satu jam lebih awal sebelum keberangkatan kereta untuk melakukan check-in dan validasi tiket.
Baca juga: H-1 Natal, Stasiun Gambir Dipadati Penumpang Kereta
Di Pintu Selatan, proses face recognition ini dibantu oleh lima orang petugas dari PT Kereta Api Indonesia (KAI).
Kelima petugas tersebut berjajar di meja panjang, masing-masing melayani penumpang yang telah membentuk lima barisan.



Meskipun ada antrian, waktu yang dibutuhkan untuk setiap penumpang menjalani proses face recognition hanya sekitar dua menit.
Penumpang cukup menyiapkan KTP dan difoto oleh petugas, serta diharuskan melepas kacamata untuk memperlancar proses pengenalan wajah.
Setelah proses tersebut, penumpang dapat langsung masuk ke peron tempat kereta yang akan ditumpangi tiba.
Baca juga: H-2 Natal, 387.056 Tiket Kereta dari Stasiun Gambir dan Pasar Senen Belum Terjual
Meskipun demikian, PT KAI tidak mewajibkan penumpang untuk menggunakan metode face recognition.
Bagi penumpang yang keberatan untuk difoto, mereka masih dapat melakukan check-in dan mencetak tiket secara manual.
Namun, proses cetak tiket manual dipastikan akan lebih memakan waktu, karena penumpang harus mengeluarkan KTP beberapa kali, termasuk saat ingin masuk peron.
Sementara itu, dengan menggunakan sistem face recognition, penumpang tidak perlu lagi mengeluarkan KTP saat memasuki peron karena data mereka sudah terdeteksi secara otomatis.
Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
"Sepanjang 2024, Imigrasi Bogor Deportasi 199 WNA karena Langgar Izin Tinggal",NEWS,24/12/2024,"BOGOR, KOMPAS.com - Kantor Imigrasi Bogor, Jawa Barat, mendeportasi sebanyak 199 warga negara asing (WNA) selama periode Januari hingga Desember 2024.
Kepala Kantor Imigrasi Bogor Ruhiyat Tolib mengatakan, warga asing tersebut dipulangkan karena menyalahi aturan izin tinggal atau overstay yang diterbitkan oleh pihak keimigrasian.
""Ini hasil operasi keimigrasian yang kita lakukan selama satu tahun, seperti operasi intelijen, operasi gabungan, pencegahan, dan deportasi,"" kata Tolib, Selasa (24/12/2024).
""Ada 199 WNA yang kita deportasi, 19 diantaranya dari Nigeria,"" ujar dia.
Baca juga: Selama 2024, Imigrasi Karawang Deportasi 4 WNA 
Ia menyebutkan, mayoritas WNA yang dideportasi tersebut berasal dari negara-negara di kawasan Timur Tengah dan Afrika.



Tolib mengatakan, mayoritas WNA tersebut tinggal di kawasan Puncak, Bogor, Jawa Barat.
Mereka menganggap wilayah di sana cukup aman dari pendataan petugas imigrasi.
""Jadi ketika kita tanya tujuan datang ke Bogor ini, alasannya untuk bisnis, ada juga untuk wisata. Tapi setelah kita cek, justru dokumen keimigrasiannya bermasalah,"" kata Tolib.
Baca juga: Imigrasi DIY Amankan WNA Asal Maroko yang Overstay
Tolib menambahkan, pihak Imigrasi Bogor telah membentuk desa binaan di kawasan Cisarua, Puncak, sebagai bentuk pencegahan dan edukasi terhadap keberadaan warga asing di wilayah tersebut.
""Upaya pencegahan ini juga berkolaborasi aktif dengan instansi terkait seperti BP2MI, kepolisian, TNI, kecamatan, desa, serta tokoh masyarakat dalam pembentukan Desa Binaan Imigrasi,"" kata dia.

Simak breaking news dan berita pilihan kami langsung di ponselmu. Pilih saluran andalanmu akses berita Kompas.com WhatsApp Channel : https://www.whatsapp.com/channel/0029VaFPbedBPzjZrk13HO3D. Pastikan kamu sudah install aplikasi WhatsApp ya."
7 Tips Siapkan Gadget buat Liburan biar Makin Nyaman,TEKNO,24/12/2024,"KOMPAS.com - Liburan adalah momen yang dinantikan untuk melepas penat dan menciptakan kenangan berharga. Namun, gadget yang bermasalah bisa mengubah perjalanan menyenangkan menjadi penuh stres.
Mulai dari baterai habis di saat penting hingga koneksi internet yang lambat, hal-hal kecil seperti ini dapat mengganggu pengalaman liburan Anda.
Maka dari itu penting memastikan gadget Anda siap menghadapi segala kebutuhan perjalanan. Berikut adalah tujuh tips yang dapat membantu Anda menyiapkan gadget agar liburan Anda berjalan lancar tanpa kendala.
Baca juga: Natal dan Tahun Baru, Trafik Telkomsel Naik berkat Medsos dan Video Call
Perbarui perangkat lunak dan aplikasi
Sebelum berangkat, pastikan semua perangkat Anda diperbarui ke versi perangkat lunak dan aplikasi terbaru. Pembaruan ini biasanya mencakup peningkatan performa, pembaruan fitur, dan perbaikan keamanan yang dapat mencegah masalah teknis selama perjalanan. 
Misalnya, aplikasi navigasi dengan versi terbaru akan lebih akurat dan memiliki fitur tambahan yang mungkin membantu Anda selama perjalanan. Jangan lupa untuk memeriksa pembaruan sistem operasi di smartphone, laptop, tablet, dan perangkat lainnya.



Cadangkan data penting
Liburan selalu membawa risiko perangkat hilang atau rusak, jadi cadangkan semua data penting sebelum berangkat. Gunakan layanan cloud seperti Google Drive, iCloud, atau Dropbox untuk menyimpan foto, dokumen, dan file penting lainnya.
Sebagai alternatif, Anda juga bisa menggunakan hard drive eksternal. Dengan begitu, meskipun perangkat Anda bermasalah, data Anda tetap aman dan dapat diakses kapan saja.
Isi daya dan bawa cadangan daya
Tidak ada yang lebih menyebalkan daripada kehabisan baterai saat sedang memotret momen indah atau mencari arah di peta digital. Sebelum pergi, isi daya semua perangkat Anda hingga penuh. 
Selain itu, pastikan Anda membawa power bank yang memadai. Pilih power bank dengan kapasitas besar (minimal 10.000 mAh) untuk mengisi ulang beberapa perangkat sekaligus.
Jika memungkinkan, bawa juga adaptor atau plug internasional jika Anda bepergian ke luar negeri, karena tidak semua negara memiliki colokan yang sama.
Atur kabel dan aksesori dengan rapi
Kabel charger, earphone, atau aksesori lainnya sering kali menjadi berantakan di dalam tas. Gunakan organizer kabel atau kantong kecil untuk menyimpan semua aksesori Anda dengan rapi. Anda juga bisa melabeli setiap kabel untuk mempermudah saat mencarinya.
Jika Anda membawa banyak perangkat, pertimbangkan untuk membawa multiport charger agar lebih praktis saat mengisi daya di hotel atau tempat umum.
Amankan perangkat Anda
Saat bepergian, perangkat Anda lebih rentan terhadap pencurian atau serangan siber. Aktifkan fitur keamanan seperti kunci layar, pengenalan wajah, atau sidik jari pada smartphone Anda. Jangan lupa memasang aplikasi antivirus untuk melindungi perangkat dari malware. 
Jika memungkinkan, gunakan VPN saat mengakses WiFi publik agar data Anda tetap aman. Selain itu, pastikan kata sandi akun-akun penting Anda kuat dan tidak mudah ditebak.
Batasi penggunaan data seluler
Jika Anda bepergian ke luar negeri, pastikan untuk memahami kebijakan roaming dari provider Anda. Nonaktifkan sinkronisasi otomatis dan aplikasi yang menggunakan banyak data di latar belakang."
